name,rating,reviews,location,salery,interview,job_ava
PhonePe,4.0,2.9k,FinTech | Bangalore / Bengaluru +341 other locations,11.9k,375,23
Max Healthcare,3.9,2.9k,Healthcare | New Delhi +74 other locations,10k,172,132
Cloudnine Hospital,4.5,2.9k,Healthcare | Bangalore / Bengaluru +41 other locations,2.6k,822,--
UPL,4.1,2.9k,Agro Chemicals | Ankleshwar +181 other locations,10.8k,204,48
Amazon Transportation Services,4.1,2.9k,Hyderabad / Secunderabad +218 other locations,8k,245,--
Walmart,3.5,2.9k,Retail | Bangalore / Bengaluru +90 other locations,20.4k,422,170
S&P Global,4.0,2.9k,Analytics & KPO | Hyderabad / Secunderabad +45 other locations,19.5k,315,492
PepsiCo,4.0,2.9k,Food Processing | Hyderabad / Secunderabad +262 other locations,12.3k,226,328
TVS Credit Services Ltd,4.2,2.9k,NBFC | Chennai +402 other locations,6.9k,139,46
Dilip Buildcon,3.9,2.9k,Engineering & Construction | Bhopal +217 other locations,8k,168,20
Croma,3.9,2.9k,Retail | Mumbai +179 other locations,8.5k,166,22
Titan Company,4.2,2.9k,Retail | Bangalore / Bengaluru +175 other locations,9.2k,181,111
Varroc Group,3.6,2.9k,Auto Components | Pune +59 other locations,9.2k,208,45
Bajaj Allianz General Insurance,3.7,2.9k,Insurance | Pune +265 other locations,9.2k,115,284
CMS IT Services,3.1,2.8k,IT Services & Consulting | Mumbai +151 other locations,9.5k,150,72
Mankind Pharma,3.8,2.8k,Pharma | New Delhi +229 other locations,9k,234,15
Societe Generale Global Solution Centre,3.7,2.8k,IT Services & Consulting | Bangalore / Bengaluru +24 other locations,21.8k,288,100
Square Yards,3.7,2.8k,Internet | Gurgaon / Gurugram +48 other locations,9k,218,46
Zensar Technologies,3.7,2.8k,IT Services & Consulting | Pune +29 other locations,25k,268,307
Afcons Infrastructure,4.2,2.8k,Engineering & Construction | Mumbai +114 other locations,8.2k,249,34
ACC,3.9,2.8k,Building Material | Mumbai +258 other locations,9k,220,19
MSN Laboratories,3.6,2.8k,Pharma | Hyderabad / Secunderabad +96 other locations,9k,158,37
Torrent Pharmaceuticals,3.9,2.8k,Pharma | Ahmedabad +120 other locations,10.1k,148,33
Blinkit,3.8,2.8k,Internet | Gurgaon / Gurugram +122 other locations,11k,277,--
Quest Global,3.5,2.7k,IT Services & Consulting | Bangalore / Bengaluru +45 other locations,20.1k,338,187
UnitedHealth,4.0,2.7k,Healthcare | Hyderabad / Secunderabad +17 other locations,14.8k,84,--
HDFC Sales,3.9,2.7k,Financial Services | Mumbai +327 other locations,7.9k,186,49
Nokia,4.0,2.7k,Telecom | Bangalore / Bengaluru +164 other locations,15.6k,301,162
I Process Services,3.8,2.7k,Mumbai +385 other locations,5.3k,124,--
Shoppers Stop,4.0,2.7k,Retail | Mumbai +82 other locations,6.9k,129,9
Jindal Stainless,4.2,2.7k,Iron & Steel | Jajpur +74 other locations,10.8k,289,17
Fujitsu,3.8,2.7k,IT Services & Consulting | Pune +39 other locations,16.8k,207,149
Whitehat jr,3.4,2.7k,EdTech | Mumbai +48 other locations,9.7k,263,--
Fiserv,2.8,2.7k,FinTech | Pune +32 other locations,17.5k,189,99
